class_id,latitude,longitude,class_name,tree_presence,tree_cover,vegetation_height,shrub_presence,herb_presence,graminoid_proxy_ndvi_std,builtup_presence,building_presence,bareSoil_presence,bare_soil_temporal_length,waterbody_presence,artificiality,construction_use,vegetation_artificiality,elev,timber_extraction_rotation,agricultural_activity_type,residential,oilpalm_presence,rubber_presence,mangrove_presence,coffee_presence,other_species_presence
2,-3.622319527,104.5638596,Secondary Dryland Forest,1,35,10,0,0,0,0,0,0,0,0,0,11,0,24,0,0,0,0,1,,,
2,-3.632900974,104.5328956,Secondary Dryland Forest,1,53,15,0,0,0,0,0,0,0,0,0,11,0,30,0,0,0,0,0,,,
2,-3.636976592,104.5332835,Secondary Dryland Forest,1,51,13,0,0,0,0,0,0,0,0,0,11,0,33,0,0,0,0,0,,,
2,-3.629405039,104.5614338,Secondary Dryland Forest,1,45,10,0,0,0,0,0,0,0,0,0,12,0,19,0,0,0,0,1,,,
2,-3.615724517,104.5783205,Secondary Dryland Forest,1,42,11,0,0,0,0,0,0,0,0,0,11,0,30,0,0,0,0,1,,,
2,-3.689094565,104.5564842,Secondary Dryland Forest,1,53,15,0,0,0,0,0,0,0,0,0,12,0,44,7,0,0,0,0,,,
2,-3.686477073,104.5579379,Secondary Dryland Forest,1,45,15,0,0,0,0,0,0,0,0,0,11,0,44,0,0,0,0,0,,,
2,-3.687248497,104.5593916,Secondary Dryland Forest,1,42,12,0,0,0,0,0,0,0,0,0,11,0,33,0,0,0,0,1,,,
2,-3.717726453,104.543477,Secondary Dryland Forest,1,29,13,0,0,0,0,0,0,0,0,0,11,0,44,11,0,0,0,1,,,
2,-3.704429414,104.5521188,Secondary Dryland Forest,0,54,0,0,0.79986704,0,0,0,0,0,0,0,11,0,26,0,0,0,0,0,,,
2,-3.713066693,104.5288244,Secondary Dryland Forest,1,38,15,0,0,0,0,0,0,0,0,0,12,0,31,0,0,0,0,1,,,
2,-3.570687596,104.3340331,Secondary Dryland Forest,1,65,14,0,0,0,0,0,0,0,0,0,11,0,48,0,0,0,0,0,,,
