ID_epistem,name_epist,class_id,class_name,latitude,longitude,tree_presence,tree_cover,vegetation_height,shrub_presence,herb_presence,graminoid_proxy_ndvi_std,builtup_presence,building_presence,bareSoil_presence,bare_soil_temporal_length,waterbody_presence,water_horizontal_spreading,artificiality,construction_use,vegetation_artificiality,elev,timber_extraction_rotation,agricultural_activity_type,oilpalm_presence,rubber_presence,mangrove_presence,coffee_presence,other_species_presence
2,Secondary Dryland Forest,2,Logged-over forest,-3.622319527,104.5638596,1,35,10,0,0,0,0,0,0,0,0,0,0,11,0,24,0,0,0,1,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.632900974,104.5328956,1,53,15,0,0,0,0,0,0,0,0,0,0,11,0,30,0,0,0,0,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.636976592,104.5332835,1,51,13,0,0,0,0,0,0,0,0,0,0,11,0,33,0,0,0,0,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.629405039,104.5614338,1,45,10,0,0,0,0,0,0,0,0,0,0,12,0,19,0,0,0,1,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.615724517,104.5783205,1,42,11,0,0,0,0,0,0,0,0,0,0,11,0,30,0,0,0,1,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.689094565,104.5564842,1,53,15,0,0,0,0,0,0,0,0,0,0,12,0,44,7,0,0,0,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.686477073,104.5579379,1,45,15,0,0,0,0,0,0,0,0,0,0,11,0,44,0,0,0,0,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.687248497,104.5593916,1,42,12,0,0,0,0,0,0,0,0,0,0,11,0,33,0,0,0,1,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.717726453,104.543477,1,29,13,0,0,0,0,0,0,0,0,0,0,11,0,44,11,0,0,1,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.704429414,104.5521188,0,54,0,0,0.79986704,0,0,0,0,0,0,0,0,11,0,26,0,0,0,0,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.713066693,104.5288244,1,38,15,0,0,0,0,0,0,0,0,0,0,12,0,31,0,0,0,1,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.570687596,104.3340331,1,65,14,0,0,0,0,0,0,0,0,0,0,11,0,48,0,0,0,0,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.569086779,104.3366506,1,43,14,0,0,0,0,0,0,0,0,0,0,11,0,39,0,0,0,1,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.573889231,104.332673,1,52,15,0,0,0,0,0,0,0,0,0,0,11,0,44,0,0,0,1,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.58282081,104.3310187,1,45,14,0,0,0,0,0,0,0,0,0,0,11,0,59,0,0,0,1,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.723982572,104.5756227,0,35,4,1,0,0,0,0,0,0,0,0,0,11,0,25,0,0,0,1,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.71908202,104.5801844,0,38,5,0,0.48455526,0,0,0,0,0,0,0,0,11,0,29,0,0,0,0,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.737128002,104.564854,1,52,13,0,0,0,0,0,0,0,0,0,0,11,0,30,0,0,0,0,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.729708058,104.5771789,0,41,4,1,0,0,0,0,0,0,0,0,0,11,0,21,0,0,0,0,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.755379102,104.5633959,1,47,13,0,0,0,0,0,0,0,0,0,0,11,0,25,0,0,0,1,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.7681901,104.5602433,1,47,12,0,0,0,0,0,0,0,0,0,0,11,0,27,0,0,0,1,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.759646462,104.5593693,1,46,10,0,0,0,0,0,0,0,0,0,0,11,0,26,0,0,0,0,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.747905649,104.5116168,1,46,15,0,0,0,0,0,0,0,0,0,0,11,0,49,6,0,0,1,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.766344032,104.5022972,1,47,13,0,0,0,0,0,0,0,0,0,0,11,0,37,9,0,0,1,,,
