,class_id,class_name,priority,waterbody_cover,builtup_cover,bareSoil_cover,mining,tree_cover,agricultural_activity,mangrove_presence,rubber_presence,other_species_presence,coffee_presence,cacao_presence,oilpalm_presence,tree_horizonal_pattern,coconut_presence,shrub_presence,herb_presence,graminoid_presence
0,23,Waterbody,1,>40,,,,,,,,,,,,,,,,
1,20,Fish Pond,2,>40,,,,,,,,,,,,,,,,
2,20,Settlement,3,<40,>90,,,,,,,,,,,,,,,
3,21,Cleared Land,4,<40,,>90,==0,,,,,,,,,,,,,
4,22,Mining area,5,<40,,>90,==1,,,,,,,,,,,,,
5,1,Primary Dryland Forest,6,<10,,,,>90,==0,,,,,,,,,,,
6,3,Primary Mangrove Forest,7,>10,,,,>90,==0,==1,,,,,,,,,,
7,5,Primary Swamp Forest,8,>10,,,,>90,==0,,,,,,,,,,,
8,2,Secondary Dryland Forest,9,<10,,,,>20,==0,,,,,,,,,,,
9,4,Secondary Mangrove Forest,10,>10,,,,>20,==0,==1,,,,,,,,,,
10,6,Secondary Swamp Forest,11,>10,,,,>20,==0,,,,,,,,,,,
11,8,Rubber monoculture,12,<40,,,,>20,==1,,==1,,,,,,,,,
12,15,Rubber agroforestry,13,<40,,,,>20,==1,,==1,==1,,,,,,,,
13,14,Coffee agroforestry,14,<40,,,,,==1,,,,==1,,,,,,,
14,10,Cacao monoculture,15,<40,,,,>20,==1,,,,,==1,,,,,,
15,12,Other monoculture,16,<40,,,,>20,==1,,,==1,,,,,,,,
16,9,Oil palm monoculture,17,<40,,,,,==1,,,,,,==1,regularRowsSingleElement,,,,
17,11,Coconut monoculture,18,<40,,,,,==1,,,,,,,unevenlySpread,==1,,,
18,7,Plantation forest,19,<40,,,,>20,==0,,,,,,,,,,,
19,19,Shrub,20,<40,,,,<20,==0,,,,,,,,,>20,,
20,18,Grass or Savanna,21,<40,,,,<20,==0,,,,,,,,,,>20,
21,13,Other Cropland,22,<40,,,,<20,==1,,,,,,,,,,>20,
22,17,Paddy field,23,,,,,<20,==1,,,,,,,,,,,>20
23,16,Mixed/home garden,24,,,,,,==1,,,,,,,,,,,
