system:index,AoI,ID,LULC_24,agricultural_activity,artificial_waterbody,bareSoil_cover,builtup_cover,cacao_presence,coconut_presence,coffee_presence,mangrove_presence,mining,oilpalm_presence,paddy_presence,rubber_presence,timber_extraction,tree_cover,tree_height,waterbody_cover,.geo,_qc_flag
1_1_1_1_1_1_1_1_1_2_00000000000000000008,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.2521144266974915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,"{""type"":""Point"",""coordinates"":[97.00820716422464,3.731032410742396]}",
1_1_1_1_1_1_1_1_1_2_0000000000000000000b,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.3612230666294039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,0.0,"{""type"":""Point"",""coordinates"":[97.40850958399459,3.434377335858749]}",
1_1_1_1_1_1_1_1_1_2_0000000000000000000e,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.1430240135542555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,0.0,"{""type"":""Point"",""coordinates"":[97.46976425516579,4.152685006356239]}",
1_1_1_1_1_1_1_1_1_2_00000000000000000010,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.365143482836134,0.0,0.0,0.0,0.0039215688593685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,"{""type"":""Point"",""coordinates"":[96.16015303037504,4.6687679849789046]}",
1_1_1_1_1_1_1_1_1_2_00000000000000000012,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.2676734412059467,0.0,0.0,0.0,0.0156862754374742,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,0.0,"{""type"":""Point"",""coordinates"":[96.27860459075877,5.013001668102819]}",
1_1_1_1_1_1_1_1_1_2_00000000000000000013,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.3363319554744408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,0.0,"{""type"":""Point"",""coordinates"":[98.0596810290314,2.7860151244856106]}",
1_1_1_1_1_1_1_1_1_2_00000000000000000015,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.2173319955008866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0.0,"{""type"":""Point"",""coordinates"":[97.37523131283271,4.455944009900039]}",
1_1_1_1_1_1_1_1_1_2_00000000000000000016,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.2989150988997752,0.0,0.0,0.0,0.0078431377187371,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,"{""type"":""Point"",""coordinates"":[95.56885839428391,5.079816838287652]}",
1_1_1_1_1_1_1_1_1_2_0000000000000000001a,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.2333384491732515,0.0,0.0,0.0,0.0039215688593685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,0.0,"{""type"":""Point"",""coordinates"":[97.84012827046288,4.022336564361908]}",
1_1_1_1_1_1_1_1_1_2_0000000000000000001b,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.2932085963115727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,0.0,"{""type"":""Point"",""coordinates"":[97.60136124545507,3.854830433289213]}",
1_1_1_1_1_1_1_1_1_2_00000000000000000020,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.2971741577240442,0.0,0.0,0.0,0.0,0.0,0.0,0.0235294122248888,0.0,0.0,0.0,1.0,31.0,0.0,"{""type"":""Point"",""coordinates"":[97.74617055216572,4.303308980840585]}",
1_1_1_1_1_1_1_1_1_2_00000000000000000022,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.3202318860038522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,0.0,"{""type"":""Point"",""coordinates"":[97.5980927243829,3.0357247834785794]}",
1_1_1_1_1_1_1_1_1_2_00000000000000000025,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.3746389224334016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,"{""type"":""Point"",""coordinates"":[97.41558171826534,3.861202488694587]}",
1_1_1_1_1_1_1_1_1_2_00000000000000000026,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.3398466576161341,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,50.0,0.0,"{""type"":""Point"",""coordinates"":[97.1885242926239,3.5202150311375817]}",
1_1_1_1_1_1_1_1_1_2_00000000000000000027,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.3167511141171399,0.0,0.0,0.0,0.0313725508749485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0.0,"{""type"":""Point"",""coordinates"":[96.4675456205954,4.585240104045755]}",
1_1_1_1_1_1_1_1_1_2_0000000000000000002a,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.2538190922382329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53.0,0.0,"{""type"":""Point"",""coordinates"":[97.22146367210568,4.298702729452375]}",
1_1_1_1_1_1_1_1_1_2_0000000000000000002b,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.3018553539559576,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,39.0,0.0,"{""type"":""Point"",""coordinates"":[97.58717238590302,3.2574758788664435]}",
1_1_1_1_1_1_1_1_1_2_0000000000000000002d,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.3659891181752282,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,44.0,0.0,"{""type"":""Point"",""coordinates"":[96.42066263211946,4.503469108927664]}",
1_1_1_1_1_1_1_1_1_2_00000000000000000030,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.3850399071537816,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,39.0,0.0,"{""type"":""Point"",""coordinates"":[97.34900733953742,3.8716011123512244]}",
1_1_1_1_1_1_1_1_1_2_00000000000000000032,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.3010603196741394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,"{""type"":""Point"",""coordinates"":[97.56274097123116,3.261943898121996]}",
1_1_1_1_1_1_1_1_1_2_00000000000000000034,Aceh,1,Hutan lahan kering primer,0.0,0.0,-0.2658495665274758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,0.0,"{""type"":""Point"",""coordinates"":[97.59667918934895,3.3351177464090425]}",
